__time,/imu/angular_velocity/x,/imu/angular_velocity/y,/imu/angular_velocity/z,/imu/angular_velocity_covariance[0;0],/imu/angular_velocity_covariance[0;1],/imu/angular_velocity_covariance[0;2],/imu/angular_velocity_covariance[1;1],/imu/angular_velocity_covariance[1;2],/imu/angular_velocity_covariance[2;2],/imu/header/seq,/imu/header/stamp,/imu/linear_acceleration/x,/imu/linear_acceleration/y,/imu/linear_acceleration/z,/imu/linear_acceleration_covariance[0;0],/imu/linear_acceleration_covariance[0;1],/imu/linear_acceleration_covariance[0;2],/imu/linear_acceleration_covariance[1;1],/imu/linear_acceleration_covariance[1;2],/imu/linear_acceleration_covariance[2;2],/imu/orientation/pitch_deg,/imu/orientation/roll_deg,/imu/orientation/w,/imu/orientation/x,/imu/orientation/y,/imu/orientation/yaw_deg,/imu/orientation/z,/imu/orientation_covariance[0;0],/imu/orientation_covariance[0;1],/imu/orientation_covariance[0;2],/imu/orientation_covariance[1;1],/imu/orientation_covariance[1;2],/imu/orientation_covariance[2;2]
90.980000,0.029303,0.016112,-0.032098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,90.979000,0.043997,-0.003375,9.798783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297367,0.028914,0.997749,0.000078,-0.002606,-7.685189,-0.067015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.080000,0.007793,0.001963,-0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,91.079000,0.060133,-0.030391,9.809590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297999,0.029032,0.997727,0.000078,-0.002612,-7.721953,-0.067335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.180000,0.048370,0.022104,-0.024568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.000000,91.179000,0.057367,0.001466,9.779284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297365,0.030741,0.997711,0.000092,-0.002607,-7.749381,-0.067574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.280000,-0.006593,-0.007342,-0.000019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.000000,91.279000,0.034247,0.028882,9.849886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297844,0.029054,0.997696,0.000077,-0.002610,-7.775218,-0.067799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.380000,0.024584,0.022436,-0.032863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.000000,91.379000,0.060641,0.027037,9.759306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297165,0.029596,0.997643,0.000080,-0.002605,-7.863738,-0.068569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.480000,0.022963,0.021583,-0.031792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.000000,91.479000,0.049069,0.006631,9.802333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297161,0.029544,0.997560,0.000076,-0.002605,-8.001127,-0.069765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.580000,0.026245,0.022597,-0.031911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,91.579000,0.052836,0.004130,9.800261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297229,0.029479,0.997474,0.000072,-0.002606,-8.140616,-0.070980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.680000,0.024034,0.023712,-0.032702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.000000,91.679000,0.048447,-0.003959,9.788240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297268,0.029299,0.997387,0.000068,-0.002606,-8.279796,-0.072191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.780000,0.020177,0.024062,-0.032497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.000000,91.779000,0.051697,0.018478,9.809467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297234,0.029424,0.997299,0.000066,-0.002606,-8.418987,-0.073403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.880000,0.025463,0.026992,-0.036579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.000000,91.879000,0.052832,-0.001437,9.797050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297234,0.029641,0.997209,0.000064,-0.002606,-8.558238,-0.074614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
